,sentiment_index
1999-01,0.03622654414793786
1999-02,0.05915415259638939
1999-03,0.10212585447973019
1999-04,0.137233444038333
1999-05,0.17060664359654992
1999-06,0.12973154068143694
1999-07,0.1601572627307307
1999-08,0.12123994139532178
1999-09,0.07681066364243125
1999-10,0.012436648587397962
1999-11,0.1639010217153194
1999-12,0.18480860234363797
2000-01,0.22465356457731492
2000-02,0.1533337662794708
2000-03,0.13468731000344525
2000-04,0.18672799568602172
2000-05,0.21312990031984688
2000-06,0.15305304151122265
2000-07,0.08845540949414711
2000-08,0.028963019734391093
2000-09,0.016613435047318457
2000-10,-0.024191177775013666
2000-11,-0.21867816555183936
2000-12,0.20407957393568874
2001-01,0.15341273076884054
2001-02,0.16171769686698156
2001-03,-0.04279979327284707
2001-04,0.024256343896257127
2001-05,-0.024171149216244397
2001-06,0.0662316629601191
2001-07,0.0969296666723644
2001-08,0.12065254396576676
2001-09,0.10618487966690039
2001-10,0.03022784053370608
2001-11,0.05159171971363963
2001-12,0.11556943351304211
2002-01,0.08845889168485424
2002-02,0.21590581864597194
2002-03,0.14623021788394672
2002-04,0.1124457273692969
2002-05,0.1452395598869562
2002-06,0.17061046745150774
2002-07,0.11247354261628521
2002-08,0.12306949107097083
2002-09,0.09686441832965034
2002-10,0.05942514646080767
2002-11,0.10164197729582715
2002-12,0.16793641556416183
2003-01,0.20130579541092028
2003-02,0.15754237569173865
2003-03,0.10123839225533038
2003-04,0.08066645941323645
2003-05,0.06947750666406181
2003-06,0.18623261548958187
2003-07,0.12876647941690755
2003-08,0.14346899125623647
2003-09,0.23083051610660277
2003-10,0.21264385907728528
2003-11,0.20244247301883397
2003-12,0.1999982114678724
2004-01,0.23944164360101755
2004-02,0.25058289555882973
2004-03,0.2536153826634185
2004-04,0.2538565947363448
2004-05,0.2050450937015517
2004-06,0.2548945003695586
2004-07,0.29288896186359864
2004-08,0.22860382507187305
2004-09,0.22144035797445957
2004-10,0.24021244357764499
2004-11,0.15708807853252732
2004-12,0.25939955581918134
2005-01,0.2206835533353696
2005-02,0.19007663805937333
2005-03,0.23150689161097113
2005-04,0.2539045816961211
2005-05,0.21840953861658396
2005-06,0.160796999648801
2005-07,0.22682987046732997
2005-08,0.14455000832509343
2005-09,0.17227392861352966
2005-10,0.15848555764813707
2005-11,0.19846285818271403
2005-12,0.23068450359255419
2006-01,0.19719534451863432
2006-02,0.17335386591109544
2006-03,0.16927646170902716
2006-04,0.22121115221742146
2006-05,0.18321977063339945
2006-06,0.202827795068704
2006-07,0.17734028167447782
2006-08,0.20233567900537186
2006-09,0.16758422849113636
2006-10,0.2167285652802031
2006-11,0.24543442996110523
2006-12,0.2191467779081908
2007-01,0.25275856495417837
2007-02,0.24422371727922879
2007-03,0.16704433131704574
2007-04,0.17225987156288275
2007-05,0.24640526156924683
2007-06,0.17509915872287757
2007-07,0.16580628733741373
2007-08,0.14245921793987465
2007-09,0.14786582811703108
2007-10,0.1574147643577665
2007-11,0.16057666338841015
2007-12,0.16633958337668495
2008-01,0.18324782975204945
2008-02,0.15877101130915044
2008-03,0.2232524457386421
2008-04,0.2384851672636864
2008-05,0.1510341575127835
2008-06,0.201031016897515
2008-07,0.11468964910286882
2008-08,0.057460614332408635
2008-09,-0.01667375001433158
2008-10,0.007054623740495387
2008-11,0.01028031165015901
2008-12,0.036483184969425854
2009-01,0.05131489291569128
2009-02,0.007826881732239131
2009-03,0.07534812179863025
2009-04,0.09890050054265492
2009-05,0.11781784405085895
2009-06,0.1648539318347678
2009-07,0.12074726838761819
2009-08,0.12028089597007917
2009-09,0.2265854379189905
2009-10,0.1964367187941814
2009-11,0.14599093047064357
2009-12,0.14232730334098379
2010-01,0.14402942232516427
2010-02,0.13803485502550683
2010-03,0.0736526585883858
2010-04,0.11539985598271141
2010-05,0.05538400016676566
2010-06,0.10237892273189379
2010-07,0.11268802865707882
2010-08,0.10238470638196041
2010-09,0.12449350778723971
2010-10,0.11840419219568164
2010-11,0.1346017693478193
2010-12,0.1781963181213711
2011-01,0.18546459803227128
2011-02,0.09660311372513887
2011-03,-0.02963106106897057
2011-04,0.013333672385677358
2011-05,0.10054008513853017
2011-06,0.10456702573920974
2011-07,0.14696150884956577
2011-08,0.0941005912655805
2011-09,0.10901129500937681
2011-10,0.04895467561086513
2011-11,0.049141988690773894
2011-12,0.027058957732604777
2012-01,0.060150225210586966
2012-02,0.15007780912605032
2012-03,0.12486568493851699
2012-04,0.12132252562461926
2012-05,0.1508458723632855
2012-06,0.08289888758138331
2012-07,0.10942769038596385
2012-08,0.17578419781196183
2012-09,0.1769964909061319
2012-10,0.13964381493014516
2012-11,0.1402430935103754
2012-12,0.1807375197870817
2013-01,0.2069078490840395
2013-02,0.1831742233383843
2013-03,0.1184919026987046
2013-04,0.1747538063874485
2013-05,0.17241437611092572
2013-06,0.12493982482143827
2013-07,0.15209028247995396
2013-08,0.11603244991749896
2013-09,0.15828034377537542
2013-10,0.14188063851061566
2013-11,0.16399585172652745
2013-12,0.1334430444582391
2014-01,0.11844467898033284
2014-02,0.1578984294673059
2014-03,0.11737180523791699
2014-04,0.12203243374143913
2014-05,0.08524266712517442
2014-06,0.13595041432552554
2014-07,0.11710788406665798
2014-08,0.13415754124116347
2014-09,0.12134290310099342
2014-10,0.12528679008968538
2014-11,0.1535848785430536
2014-12,0.1325068264075013
2015-01,0.18101155905337554
2015-02,0.05807910218937256
2015-03,0.09345469328067071
2015-04,0.11104671134316416
2015-05,0.15567492311279588
2015-06,0.0895414462255146
2015-07,0.09296778799274563
2015-08,0.08596041218274038
2015-09,0.0831227778447573
2015-10,0.06845393705309334
2015-11,0.11919203359101671
2015-12,0.10308067558646324
2016-01,0.10960242847729826
2016-02,0.039166267572984165
2016-03,0.0365868308689674
2016-04,0.09220831212958663
2016-05,0.06906839197645971
2016-06,0.056909273965621704
2016-07,0.040015982142957714
2016-08,0.07721119828100892
2016-09,0.030601232101219452
2016-10,0.010565465812153365
2016-11,0.05359135287129363
2016-12,0.06696095012423037
2017-01,0.06637495655797582
2017-02,0.10375809049454247
2017-03,0.07752891834100406
2017-04,0.10734871080264959
2017-05,0.09504817589042582
2017-06,0.12643874343270586
2017-07,0.13463340235209434
2017-08,0.14578981488369466
2017-09,0.1338519858006391
2017-10,0.15086045709243667
2017-11,0.22057647440773354
2017-12,0.11407511605146504
2018-01,0.17874227085102573
2018-02,0.13491193516878633
